group,city,credit_score,credit_score_nonWhite,credit_score_white,delinquint_debt,delinquint_debt_amount,mortgate_foreclosure,housing_cost_burdened,eitc,unbanked,no_health_insurance,low_income,unemployment_rate,labor_force_participation,gini,pop_change_00-15
1,"San Francisco, CA",732,714,746,0.165210336,1068,0.000384911,0.7249704,0.224726796,0.020999999,0.125219226,0.252877921,0.051044408,0.701539814,0.520799994,0.113401905
1,"San Jose, CA",714,691,746,0.211055845,1272,0.002759659,0.812631667,0.253549486,0.05,0.126888752,0.247368991,0.061257947,0.673335731,0.453900009,0.147468612
1,"Seattle, WA",731,663,733,0.187110841,1083.5,0.001528585,0.754802346,0.181521043,0.025999999,0.118398666,0.230122373,0.048110973,0.735362411,0.475699991,0.214899868
1,"Honolulu, HI",720,716,,0.19342865,1148,0.000729395,0.812163651,0.255358338,0.016,0.106338978,0.259336233,0.036000669,0.653830886,0.458799988,
2,"Washington, DC",671,617,739,0.344150215,980,0.003762935,0.769580662,0.321136266,0.039000001,0.103496075,0.305577964,0.072506383,0.697578549,0.535399973,0.175102562
2,"Boston, MA",716,632,722,0.195821062,645,0,0.787071526,0.285537273,0.025999999,0.09530592,0.364564836,0.06673833,0.691834152,0.54549998,0.136347666
2,"Los Angeles, CA",663,622,713,0.359999031,1258,0.002317253,0.842568159,0.348232716,0.086000004,0.1889202,0.437278271,0.072462328,0.657591343,0.530499995,0.074990392
2,"New York, NY",708,647,740,0.205492511,963,0.001712329,0.804512739,0.399593651,0.088999996,0.148665547,0.391023785,0.074458286,0.637934029,0.551400006,0.067695826
2,"Oakland, CA",668,628,759,0.342588812,1011,0.000866551,0.789895952,0.324510008,0.020999999,0.150595069,0.4068771,0.070230238,0.683467925,0.506900012,0.049548917
3,"Des Moines, IA",670,552,678,0.325355083,1117,0.00308642,0.519219875,0.314944953,0.068000002,0.13715446,0.392166525,0.073641427,0.715648055,0.469199985,0.058560915
3,"Louisville, KY",668,543,717,0.411188155,1449,0.003709949,0.574884534,0.338536203,0.101000004,0.106735349,0.357359976,0.065584585,0.643551946,0.476200014,
3,"Minneapolis, MN",701,556,728,0.24052076,1093,0.001944769,0.708160758,0.272875249,0.045,0.144860923,0.377207309,0.056766484,0.750767291,0.506399989,0.074008539
3,"Portland, OR",709,,727,0.255557925,1412,0.00166159,0.743303537,0.257168353,0.05,0.143345296,0.328133374,0.06456998,0.696266592,0.476799995,0.194787204
3,"Columbus, OH",647,567,672,0.433956325,1375.5,0.003633061,0.652166009,0.323114008,0.014,0.151375353,0.411489695,0.065511078,0.702313483,0.442099988,0.193398178
3,"Kansas City, MO",660,552,690,0.426211864,1642,0.004212744,0.600654006,0.329402268,0.05,0.177571118,0.359646738,0.051565159,0.676555514,0.474900007,0.076585628
3,"Omaha, NE",689,586,720,0.259664148,1536.5,0.002347418,0.63575381,0.288478047,0.029000001,0.145028651,0.357290268,0.041177161,0.690490067,0.479600012,0.138151363
4,"Atlanta, GA",650,560,730,0.407215416,1804,0.002794411,0.693250895,0.405052423,0.07,0.174390674,0.396872759,0.07382863,0.654929698,0.571200013,0.113815024
4,"Chicago, IL",656,585,729,0.399005741,1250,0.004587156,0.744941413,0.366966456,0.081000004,0.162398458,0.417426527,0.094960459,0.659627199,0.531400025,-0.060586683
4,"Buffalo, NY",654.5,559,691,0.390793025,1728,0.004945599,0.608983815,0.401454389,0.083999996,0.101223886,0.530843556,0.072743826,0.586517274,0.501800001,-0.11816927
4,"Pittsburgh, PA",707,597,725,0.282543987,1476.5,0.002298851,0.597100437,0.258256614,0.073000002,0.107398808,0.418849736,0.070132218,0.613948703,0.538800001,-0.090201251
4,"St Louis, MO",665,552,741,0.422538072,1687,0.002836432,0.636476874,0.398667127,0.08,0.173421025,0.454997271,0.095118217,0.652435005,0.509899974,-0.093351603
4,"Wilmington, DE",675,558,719,0.383814096,1414,0.005319149,0.714362502,0.424937218,0.040999999,0.122497141,0.503116846,0.058623943,0.599861979,0.546800017,-0.009729715
4,"Cincinnati, OH",672,586,698,0.361456901,1644,0.001997337,0.633217275,0.361731797,0.078000002,0.118971348,0.49552536,0.10489814,0.64011091,0.540700018,-0.098851442
5,"Las Vegas, NV",644,568,698,0.452302486,1841,0.004482477,0.682356179,0.31975016,0.101000004,0.189192891,0.390140176,0.091676638,0.62838155,0.474400014,0.3037723
5,"San Antonio, TX",646,621,705,0.488200545,2173,0.002088046,0.615494072,0.386873752,0.113000002,0.20979476,0.411326081,0.060575157,0.633478045,0.463099986,0.284086078
5,"Austin, TX",675,586,741,0.373427182,1462,0.001074402,0.778730929,0.259716123,0.086000004,0.225822031,0.328262568,0.041709896,0.733665407,0.487199992,0.419271916
5,"Nashville, TN",665,559,728,0.379869729,1245.5,0.000626174,0.642859459,0.315308422,0.098999996,0.180590034,0.376834989,0.049253594,0.70504415,0.473500013,0.199939877
5,"Orlando, FL",642,589,675,0.469703168,1521,0.005655356,0.768500388,0.407303482,0.043000002,0.225496769,0.434981167,0.072157711,0.723382175,0.486000001,0.456926823
5,"Charlotte, NC",654,610,721,0.438412637,1820,0.004398827,0.69043386,0.35576418,0.073000002,0.184374094,0.353100479,0.073408276,0.713121176,0.496399999,0.529360533
5,"Albuquerque, NM",667,621,734,0.375893772,1438,0.003671072,0.644341767,0.318837255,0.086000004,0.146985471,0.399145573,0.066812217,0.631287098,0.477800012,0.246371552
5,"Sacramento, CA",662,640,674.5,0.365286142,1761,0.001564945,0.738018632,0.366957456,0.035,0.123969078,0.418398529,0.082355767,0.620937645,0.468800008,0.205634639
5,"Phoenix, AZ",644,570,680,0.454590559,1843,0.001843318,0.654861152,0.361967087,0.106000004,0.203736067,0.44055301,0.062270127,0.646960616,0.489300013,0.183155
5,"Durham, NC",666,610,715.5,0.401041657,1158,0.002923977,0.665970206,0.319791913,0.076999998,0.193602324,0.366755962,0.054905292,0.703678071,0.47209999,0.377271622
5,"Denver, CO",675,611,709,0.362038016,1282,0.001930502,0.701722682,0.27290374,0.051999998,0.18166846,0.332868934,0.044856269,0.706777513,0.492700011,0.230617926
6,"Little Rock, AR",638,560,709,0.414640516,1429,0.003773585,0.481336683,0.369061857,0.111999998,0.148938537,0.399908811,0.04825455,0.65355742,0.539300025,0.081104986
6,"Houston, TX",642,606,743,0.468525261,1570.5,0.00223449,0.682531416,0.386168867,0.103999996,0.271161675,0.441579312,0.05900925,0.681023479,0.528599977,0.176592708
6,"Dallas, TX",626,558,723,0.511122763,1571,0.002517306,0.655085444,0.385813594,0.055,0.274882197,0.483487874,0.051853642,0.675079465,0.548699975,0.093811102
6,"Tulsa, OK",640,552,675,0.454145551,1367,0.002214022,0.556123555,0.334352136,0.113000002,0.20780766,0.429142386,0.063779309,0.659062803,0.524100006,0.025548978
6,"Miami, FL",660,649,591,0.370103836,1619,0.008720185,0.773652732,0.45312351,0.074000001,0.277811706,0.555657625,0.07298705,0.609708548,0.576200008,0.216622069
7,"Fresno, CA",633,595,708.5,0.451675475,1375.5,0.005067567,0.747918606,0.447192401,0.061999998,0.141193926,0.506846666,0.108778395,0.617366731,0.477699995,0.216110289
7,"Lawrence, MA",593,580,,0.535147369,858.5,0,0.780468225,0.488362819,0.025999999,0.09509033,0.521725297,0.081151366,0.637959063,0.450300008,0.113779269
7,"Milwaukee, WI",627,571,703,0.471153855,1870.5,0.006027122,0.691994727,0.378649056,0.070999999,0.147915542,0.516718864,0.086690083,0.654667318,0.471899986,0.005326865
7,"San Bernardino, CA",588.5,586,,0.537629128,1686.5,0.005464481,0.803401887,0.501583338,0.081999998,0.162044466,0.640248835,0.10709995,0.572669983,0.443399996,0.1657812
7,"Rochester, NY",675,552,729,0.35171026,1889,0.006811146,0.672362745,0.409313172,0.024000001,0.115155101,0.570249498,0.140279695,0.620753944,0.465700001,-0.04534224
7,"Lansing, MI",646,,649,0.443065703,1651.5,0.001782531,0.612749279,0.354801178,0.06,0.123992682,0.529112577,0.082825027,0.661181927,0.450100005,-0.042122759
7,"Philadelphia, PA",628,571,704,0.466074198,1476,0.004345603,0.680330515,0.415167689,0.040999999,0.143366456,0.460373372,0.109310374,0.604444921,0.504899979,0.032876678
7,"Indianapolis, IN",617,576,660,0.464438677,1515,0.003764116,0.609976232,0.349238634,0.085,0.168333173,0.423467189,0.082962655,0.673090994,0.481700003,0.085120291
7,"Baltimore, MD",623,586,672,0.465046078,1161,0.004589788,0.702327609,0.407413602,0.059000001,0.122137666,0.429410517,0.100740001,0.60083133,0.519200027,-0.045004714
8,"Columbus, GA",619,581,661,0.505982935,1704.5,0.003759399,0.639817894,0.456542552,0.118999996,0.164764941,0.433918446,0.108985208,0.602098346,0.497000009,
8,"Jackson, MS",586,559,628,0.529372692,1489,0.004807692,0.642043114,0.545628428,0.125,0.149962187,0.536562681,0.109127164,0.597580016,0.503199995,-0.072969131
8,"Savannah, GA",624,552,721,0.500861406,1961,0.003921569,0.80277288,0.443015814,0.118999996,0.232091963,0.524499714,0.098367848,0.632999837,0.497900009,0.107778877
8,"New Orleans, LA",629,586,705,0.499602228,1408.5,0.00409836,0.714133322,0.455967605,0.173999996,0.157404304,0.435606778,0.08533673,0.638767183,0.563600004,-0.196125641
8,"Shreveport, LA",601,560.5,672.5,0.557334006,2194.5,0,0.397616476,0.462450147,0.14,0.175626516,0.46248576,0.053850334,0.569827676,0.506600022,-0.015743585
8,"Columbia, SC",640,603,675,0.480373472,2347,0.006055363,0.653374732,0.364335209,0.103999996,0.122579873,0.422245055,0.091912046,0.655466855,0.516499996,0.147190347
8,"Baton Rouge, LA",649,569,702,0.469077229,1867,0.004705882,0.634770036,0.4714275,0.143000002,0.155275106,0.460940838,0.08139196,0.648033619,0.504899979,0.003415007
8,"New Haven, CT",618,589,681,0.479546368,1054,0.008438818,0.829766989,0.361870378,0.091999998,0.178127825,0.500192761,0.089386575,0.632613719,0.50880003,0.054066297
8,"Birmingham, AL",597,552,710,0.520476162,1112,0.000981354,0.633542299,0.485940605,0.123000002,0.176916838,0.53377074,0.10193485,0.608844221,0.482600003,-0.114936993
8,"Cleveland, OH",626,555,688,0.498680472,1171.5,0.005035971,0.568051398,0.444320083,0.11,0.132386267,0.598601878,0.175217465,0.579780459,0.489100009,-0.188844964
9,"Detroit, MI",552,552,610,0.665993571,1773,0.012461059,0.638163984,0.525011241,0.08,0.142829239,0.656611681,0.205924258,0.529949248,0.517199993,-0.288189471
9,"Newark, NJ",570,567,,0.582568824,1196,0.024822695,0.800782263,0.469687164,0.088999996,0.226582229,0.559800506,0.151974842,0.610450208,0.502799988,0.030587178